Date,10-year-T,Corporate-Profits,GDP,Net-Exports,Unemployment-Rate,SP500-PosNeg
2014-09-01,2.5342857142857143,1917.769,17047.098,-492.266,5.9,True
2014-10-01,2.3040909090909087,1879.109,17143.038,-524.406,5.7,True
2014-11-01,2.325555555555556,1879.109,17143.038,-524.406,5.8,False
2014-12-01,2.2072727272727275,1879.109,17143.038,-524.406,5.6,False
2015-01-01,1.8815,1770.989,17305.752,-528.778,5.7,True
2015-02-01,1.9752631578947368,1770.989,17305.752,-528.778,5.5,False
2015-03-01,2.042727272727273,1770.989,17305.752,-528.778,5.4,True
2015-04-01,1.935,1789.321,17422.845,-508.342,5.4,True
2015-05-01,2.1975,1789.321,17422.845,-508.342,5.6,False
2015-06-01,2.363636363636364,1789.321,17422.845,-508.342,5.3,True
2015-07-01,2.3245454545454542,1732.347,17486.021,-542.67,5.2,False
2015-08-01,2.167142857142857,1732.347,17486.021,-542.67,5.1,False
2015-09-01,2.1728571428571426,1732.347,17486.021,-542.67,5.0,True
2015-10-01,2.07,1635.297,17514.062,-526.494,5.0,True
2015-11-01,2.263157894736842,1635.297,17514.062,-526.494,5.1,False
2015-12-01,2.2427272727272727,1635.297,17514.062,-526.494,5.0,False
2016-01-01,2.0852631578947367,1693.864,17613.264,-513.898,4.8,False
2016-02-01,1.7795,1693.864,17613.264,-513.898,4.9,True
2016-03-01,1.8890909090909087,1693.864,17613.264,-513.898,5.0,True
2016-04-01,1.8052380952380953,1752.403,17668.203,-492.334,5.1,True
2016-05-01,1.806190476190476,1752.403,17668.203,-492.334,4.8,True
2016-06-01,1.6440909090909093,1752.403,17668.203,-492.334,4.9,True
2016-07-01,1.504,1743.196,17764.388,-497.713,4.8,False
2016-08-01,1.556521739130435,1743.196,17764.388,-497.713,4.9,False
2016-09-01,1.6304761904761904,1743.196,17764.388,-497.713,5.0,False
2016-10-01,1.7645,1805.959,17876.179,-546.102,4.9,True
2016-11-01,2.142,1805.959,17876.179,-546.102,4.7,True
2016-12-01,2.4919047619047614,1805.959,17876.179,-546.102,4.7,True
2017-01-01,2.4325,1899.067,17977.299,-543.562,4.7,True
2017-02-01,2.418947368421053,1899.067,17977.299,-543.562,4.6,False
2017-03-01,2.4817391304347822,1899.067,17977.299,-543.562,4.4,True
2017-04-01,2.297368421052632,1885.436,18054.052,-559.521,4.5,True
2017-05-01,2.303636363636364,1885.436,18054.052,-559.521,4.4,True
2017-06-01,2.1868181818181816,1885.436,18054.052,-559.521,4.3,True
2017-07-01,2.318,1934.366,18185.636,-543.581,4.3,True
2017-08-01,2.2091304347826086,1934.366,18185.636,-543.581,4.4,True
2017-09-01,2.202,1934.366,18185.636,-543.581,4.2,True
2017-10-01,2.36,1768.632,18359.432,-575.47,4.1,True
2017-11-01,2.353333333333333,1768.632,18359.432,-575.47,4.2,True
2017-12-01,2.4025,1768.632,18359.432,-575.47,4.1,True
2018-01-01,2.583809523809524,1900.187,18530.483,-589.808,4.0,False
